blood_group	user_id	company	registration	address	job	ssn	username	residence	name	current_location	mail	station_ID
B+	429	Roskoth Bloch AG & Co. KGaA	04 Aug 2023	"Schmidtplatz 59
70666 Belzig"	Arzt	642-62-5622	bstriebitz		Dr. Christine Eberth B.Eng.	(Decimal('71.976871'), Decimal('67.010412'))	jane64@gmx.de	377
A+	797	Ibarra, Anderson and Rowland	02/16/2022, 00:00:00	"99470 Kyle Well Suite 900
North Joseph, SC 87606"		515-78-5093	michael47		Katherine Blake	(Decimal('-51.1258865'), Decimal('169.925940'))	andrealopez@yahoo.com	124
B-	69	Gutknecht	2020-03-16	"Heuserallee 5/6
28370 Borken"		334-79-7421	stavrosschaefer		Ing. Charles Stey	(Decimal('-52.011089'), Decimal('-70.743995'))	catherine41@googlemail.com	499
A+	659	Shelton Ltd	2022-08-12	"177 Erika Estates
East Josephshire, NH 15221"	Public relations account executive	026-09-7093	yedwards		Philip Castro	(Decimal('-42.7689065'), Decimal('47.926511'))	angela77@yahoo.com	492
B+	1010	Calvo SPA	10 Jul 2021	"Via Boiardo, 51
65125, Pescara Colli (PE)"	Psychologist, prison and probation services	FOXGDI93C28L458L	nittotemistocle		Antonia Filippini	(Decimal('32.7619005'), Decimal('85.846234'))	martaproietti@tim.it	383
O-	1883	Palmer-Thomas	2020-04-25	"535 William Walk Suite 823
Markhaven, IA 79094"		664-45-9638	johnny09		David Gonzalez	(Decimal('-86.9078585'), Decimal('-77.995422'))	migueldiaz@hotmail.com	238
AB+	340	Pires S.A.	2020/02/08	"Pátio de Castro, 95
Cardoso
52258742 Marques da Praia / PI"	Grafologista	82357960159	nvargas		Sr. João Lucas Vasconcelos	(Decimal('-34.9860495'), Decimal('-73.543893'))	levi60@gmail.com	477
O-	2090	Hester and Sons	02/10/2024, 00:00:00	"68887 Ford Ridges
Elizabethmouth, NV 76879"		561-60-9218	edwinwalker		Katherine Carter	(Decimal('89.7282945'), Decimal('156.473124'))	kimberlyerickson@gmail.com	164
AB-	1873	木村建設合同会社	2019-02-10	群馬県白井市吾妻橋5丁目24番8号 ハイツ筑土八幡町522	小説家	505-34-0008	uikeda		木村 淳	(Decimal('79.684634'), Decimal('82.523357'))	minorunakajima@yahoo.com	643
A-	1517	Albuquerque Rodrigues Ltda.	2020/05/05		Leiteiro	81943652791	bsilveira		Maria Fernanda Andrade	(Decimal('-8.773387'), Decimal('63.674703'))	yasmin36@uol.com.br	668
AB-	1981	Riehl GmbH & Co. KGaA	2021/09/01	"Mendegasse 45
82093 Göppingen"		525-61-9047	berthatextor		Ing. Andy Plath	(Decimal('15.2665505'), Decimal('10.913410'))	berta62@hotmail.de	108
A+	272	吉田食品有限会社	26 Aug 2022	大分県多摩市所野9丁目12番14号 高田馬場コーポ303		305-91-5091	gsaito		加藤 裕美子		yukiyamashita@hotmail.com	455
AB+	1958	auch Schlauchin Anders KG	2021/01/08	"Wilfriede-Franke-Weg 38
71224 Suhl"	Mechaniker	881-44-0641	kerstinspiess		Dr. Lars Hecker MBA.	(Decimal('14.236857'), Decimal('-71.910089'))	darkostumpf@aol.de	470
O-	1677	Novaro, Oliboni e Ioppi e figli	2019/11/23	"Strada Morena, 591
19121, Laspezia (SP)"		BRZTTN90T31G859T	adelmo63		Raimondo Gianetti	(Decimal('46.163133'), Decimal('116.745358'))	gustavo64@libero.it	745
A-	1580	Kennedy-Walters	03/01/2024, 00:00:00			852-20-3937	matthewmitchell		Thomas Watson	(Decimal('35.9542495'), Decimal('-92.810500'))	robertsontammy@gmail.com	39
A-	1092	合同会社山下銀行	07/30/2023, 00:00:00	佐賀県羽村市藤金41丁目13番15号		398-51-4684	hasegawasayuri		前田 涼平	(Decimal('36.7973405'), Decimal('-168.357738'))	fmatsumoto@gmail.com	716
A-	404	Vezzali-Tarchetti e figli	2025-08-27		Orthoptist	FNTLDA76H55M253P	torquato47		Marisa Tafuri	(Decimal('55.077952'), Decimal('20.619734'))	adelmo12@tin.it	687
A+	2113	近藤銀行合同会社	2019-04-06	北海道青梅市今戸21丁目14番7号 コーポ西小来川713		836-96-6401	hidekisato		岡田 真綾	(Decimal('-18.074352'), Decimal('24.558846'))	itominoru@yahoo.com	536
A+	2112	da Costa	2022/12/02	"Colônia Raul Vieira, 13
Corumbiara
39350582 Fonseca / MG"		32810749604	luna42		Srta. Alexia Santos	(Decimal('-63.1533345'), Decimal('178.593120'))	pimentasophia@gmail.com	572
A+	887	Weihmann	2023-03-16			070-48-5054	alexandre66		Amanda Weinhage B.Eng.	(Decimal('22.0331225'), Decimal('-53.153312'))	luigi19@yahoo.de	743
O+	1646	Farias	2020/12/20	"Fazenda de Aragão, 81
Marmiteiros
46700407 Caldeira / SC"		07419385297	ecunha		Dra. Clara Monteiro	(Decimal('0.548043'), Decimal('106.691277'))	sguerra@hotmail.com	647
A+	1665	Wiek GmbH	2020/10/18	"Schönlandallee 7/4
49661 Anklam"		953-49-5202	anna-lenajunck		Edith Fröhlich-Ackermann	(Decimal('-21.497106'), Decimal('39.871662'))	mstey@web.de	34
A-	106	Rastelli s.r.l.	2022-04-09	"Stretto Adele, 7 Piano 7
89818, Capistrano (VV)"		GRGRBT62H29I782W	bettinacurci		Adele Valmarana	(Decimal('-4.0670255'), Decimal('-31.199523'))	hcaboto@live.com	44
A+	2089	Abreu	01/03/2019, 00:00:00	"Lagoa Macedo, 1
Vila Mantiqueira
25972-129 Oliveira / PR"		26543879173	flima		Vinicius Ramos	(Decimal('-16.419394'), Decimal('158.183045'))	duarteisabelly@gmail.com	110
O-	875	村上運輸有限会社	2023/02/13	長崎県八街市羽折町35丁目21番15号		281-18-5511	rwatanabe		清水 涼平	(Decimal('39.773520'), Decimal('33.359814'))	fukudaakemi@yahoo.com	278
B+	1069	Lopes	06/24/2021, 00:00:00	"Favela Cecilia Correia
Vila Barragem Santa Lúcia
02337811 da Luz / PA"		89732156040	riossarah		Dr. Marcelo da Conceição	(Decimal('-80.9145275'), Decimal('6.478957'))	asiqueira@yahoo.com.br	5
O+	1080	Viana S.A.	25 Feb 2023	"Área de Fernandes
Vila Nova Paraíso
08154-203 Montenegro das Pedras / SP"	Gerente de vendas	21705846335	portogustavo-henrique		Lavínia Campos	(Decimal('-50.5542975'), Decimal('123.661987'))	freitascaio@gmail.com	731
B-	1680	Stiebitz Kostolzin AG & Co. KG	11/23/2023, 00:00:00	"Röhrdanzstr. 5-4
86241 Wernigerode"		406-67-7148	arnfried74		Sahin Eckbauer B.Sc.	(Decimal('-48.3219965'), Decimal('-1.496749'))	greuter@aol.de	63
O-	894	Brito	2019-01-04	"Recanto Viana, 20
Conjunto Jardim Filadélfia
06225475 da Paz / RS"		76152408326	gomespietro		Dra. Ana Clara Oliveira	(Decimal('-41.5864245'), Decimal('13.448736'))	ljesus@bol.com.br	544
B+	1194	株式会社後藤情報	2020/12/04	岡山県鴨川市六番町35丁目5番16号 筑土八幡町ハイツ807		880-61-9852	osato		斉藤 知実	(Decimal('6.0680005'), Decimal('-111.683161'))	yamamotonaoto@yahoo.com	537
B+	1629	Valier, Cociarelli e Finotto SPA	2022-01-11	"Vicolo Stefanelli, 80 Piano 7
89818, Capistrano (VV)"		SLTRMD31S51E067Y	storladirocco		Dott. Allegra Berrè	(Decimal('51.533743'), Decimal('158.076585'))	qmarino@vodafone.it	292
A+	1896	Guidotti, Biagi e Terragni SPA	03 Oct 2022	"Piazza Donna, 3
00067, Morlupo (RM)"		MRCDNT86E56H406L	cesaronisandra		Beatrice Faggiani	(Decimal('-70.9426805'), Decimal('147.587881'))	giacomettialdo@gmail.com	613
A+	1154	Travis Inc	2019-05-09		Lexicographer	801-29-5016	hernandeztyler		Shawn Gibbs DDS	(Decimal('-9.3120325'), Decimal('141.043620'))	tscott@yahoo.com	744
AB+	740	Rudolph AG	2019-07-19	"Gehringerplatz 9915
23630 Anklam"	Fachinformatiker	070-81-5543	amude		Dr. Marie-Therese Gehringer B.Eng.	(Decimal('-7.961844'), Decimal('81.886322'))	wilmsenheinz-walter@aol.de	271
A+	1368	有限会社村上食品	2024-02-03	群馬県香取郡多古町渡辺22丁目18番9号		295-85-9696	tomoya33		渡辺 あすか	(Decimal('-71.759426'), Decimal('-137.052441'))	akemikondo@yahoo.com	302
AB+	989	Jäkel	2021/07/15			357-57-0554	akrein		Hanne-Lore Jacob B.A.	(Decimal('22.560107'), Decimal('-161.949877'))	kathy28@googlemail.com	257
O-	226	Knappe	2019/08/11	"Bendergasse 86/50
23337 Holzminden"		412-58-4596	ztschentscher		Mechthild Kruschwitz	(Decimal('-37.920410'), Decimal('53.643233'))	christos47@web.de	350
B-	1714	Martinez, Hayes and Rose	18 Jul 2025	"388 Aguilar Orchard
Port Tyler, MS 43682"		883-09-9982	qnoble		Jacqueline Owens	(Decimal('-37.8062185'), Decimal('64.483341'))	jnewton@hotmail.com	478
B+	1241	有限会社高橋通信	25 Jul 2019	長崎県稲城市上高野22丁目13番8号 パレス箭坪356		209-02-6733	hnakamura		伊藤 淳	(Decimal('-8.039476'), Decimal('149.698717'))	fujitatsubasa@gmail.com	70
O+	798	清水水産有限会社	2024-09-17	富山県川崎市多摩区上野公園13丁目4番20号 シャルム百村619		696-41-8383	hinoue		松田 裕美子	(Decimal('-64.1965825'), Decimal('-15.461297'))	kana33@hotmail.com	600
A-	1671	合同会社森ガス	2023-02-19	長崎県横浜市戸塚区一ツ橋18丁目6番3号 コーポ上広谷082		480-59-1803	haruka13		中村 智也	(Decimal('83.603076'), Decimal('-103.674953'))	fujiiyui@hotmail.com	708
B+	1461	山口印刷株式会社	01/06/2023, 00:00:00	宮城県目黒区大京町7丁目14番13号	エンジニア演奏家	298-48-4180	yamaguchikana		藤原 知実	(Decimal('-15.4647225'), Decimal('-96.204676'))	naokoito@yahoo.com	145
B-	1305	Hodge-Armstrong	2019/09/16	"4729 Harris Islands Suite 188
Charlestown, PA 93607"	Engineering geologist	372-75-1768	jeremykrueger		Greg Wood	(Decimal('28.0840085'), Decimal('-78.416222'))	omclean@gmail.com	500
AB+	830	高橋銀行株式会社	2023/01/28	愛知県香取郡神崎町平須賀20丁目4番19号 シティ山中新田717		359-77-5356	matsudahanako		中村 修平	(Decimal('-20.873870'), Decimal('148.266455'))	mituru70@gmail.com	313
B+	244	Andrade	11 Dec 2024	"Esplanada Antônio Ferreira, 676
Maria Goretti
60469-360 Mendonça de Araújo / PR"		76254803992	isabellynovais		Dr. Henry Gabriel Oliveira	(Decimal('72.8935715'), Decimal('-98.764200'))	stephany38@gmail.com	231
AB-	1161	小林運輸有限会社	01/01/2025, 00:00:00		小説家	027-21-7746	kenichi06		加藤 英樹	(Decimal('25.1979545'), Decimal('60.913508'))	kobayashitomoya@hotmail.com	98
AB-	1252	木村情報合同会社	26 Nov 2018	三重県中野区東和町22丁目2番20号 東和町アーバン322	医師	366-29-2178	inakamura		渡辺 智也	(Decimal('23.5503855'), Decimal('6.949306'))	gsakamoto@yahoo.com	193
A-	1561	渡辺保険合同会社	02 Dec 2022	三重県港区豊町9丁目27番4号 小入コート802		892-48-9771	ikimura		佐藤 智也	(Decimal('-77.3213505'), Decimal('-105.163234'))	kana89@gmail.com	467
B-	999	Stewart Inc	2025/03/18	"USNS Pope
FPO AP 76252"		687-71-8520	sanchezmichael		Edward Hahn	(Decimal('31.352187'), Decimal('-79.480848'))	bakermatthew@gmail.com	421
AB-	1129	Travaglia Group	2021/09/12	"Incrocio Trobbiani, 2
23822, Bellano (LC)"	Set designer	MLPLDI68M23I130Q	dino41		Giosuè Paolucci	(Decimal('43.912762'), Decimal('-46.860687'))	gbroschi@vodafone.it	607
B-	398	da Mota - EI	2023/07/03	"Praia Vinícius Costela, 829
Goiania
09218236 Pastor da Serra / SC"		08413729505	luiz-fernandocavalcanti		Olivia Pereira	(Decimal('57.9106275'), Decimal('173.008667'))	jgoncalves@hotmail.com	330
A-	1920	Lee and Sons	2021/07/03	"419 Tammy Trafficway
Lake Amberborough, IL 44741"		747-73-6710	lisacase		Amanda Miles	(Decimal('14.116593'), Decimal('-41.956399'))	marysantiago@gmail.com	102
O+	1347	松田鉱業株式会社	12/01/2021, 00:00:00	福岡県千代田区丹勢10丁目1番3号 二つ室コーポ022	音響技術者	011-03-5621	umaeda		小林 拓真	(Decimal('10.167187'), Decimal('-54.550321'))	ryoheisuzuki@yahoo.com	38
AB+	323	Etzold	2019/06/15	"Annette-Barkholz-Allee 7-9
98162 Nördlingen"		707-97-7358	pauline28		Kathrin Heintze	(Decimal('-63.4368225'), Decimal('-178.298207'))	hans-adolfpohl@yahoo.de	18
A+	1072	Schenk	2025/06/11	"Xaver-Wirth-Gasse 7334
34418 Ribnitz-Damgarten"		772-70-0301	ringsuzanne		Dipl.-Ing. Reinhardt Gieß	(Decimal('43.097717'), Decimal('129.765412'))	iwona54@yahoo.de	519
O+	22	da Rosa Aparecida S.A.	29 May 2019	"Vila de Fernandes, 72
Cidade Jardim Taquaril
57012-051 Albuquerque de Montenegro / PR"	Policial civil	05346128905	handrade		Breno Marques	(Decimal('25.143668'), Decimal('111.574637'))	npeixoto@yahoo.com.br	88
A-	664	Kroker Bolnbach GmbH	2023-05-06	"Miroslaw-Bauer-Gasse 8
13842 Miltenberg"	Techniker	971-27-6788	walburga20		Simone Binner B.A.		albinaullmann@yahoo.de	134
A-	1240	Eberhardt Lehmann KG	05/09/2021, 00:00:00	"Zirmestraße 30/31
84959 Sankt Goar"		972-33-8052	qtaesche		Hilmar Koch II	(Decimal('-26.4457775'), Decimal('-137.908041'))	gerdizobel@hotmail.de	331
O-	1041	Pasqua, Nicoletti e Camiscione e figli	03/17/2021, 00:00:00	"Canale Rapisardi, 95 Piano 2
66030, Mozzagrogna (CH)"	Music tutor	NNCMLN20E25G646G	venancio39		Nina Faugno	(Decimal('-36.5728945'), Decimal('-64.740477'))	nicolo02@libero.it	714
B-	1511	Druso SPA	2025-05-29			MNCNNN83R71D501F	bragadingaetano		Gemma Mondadori	(Decimal('-37.2975915'), Decimal('88.332244'))	giulianoguariento@libero.it	300
O-	782	Hendriks Hoffmann AG	26 Jan 2024	"Christos-Ullrich-Gasse 8/2
28695 Zschopau"		556-20-3048	sarina11		Raik Loos	(Decimal('61.3935155'), Decimal('24.405554'))	annemierust@aol.de	368
AB-	2121	Ditschlerin Ackermann KG	27 Apr 2024	"Jolanthe-Zimmer-Gasse 74
61556 Uffenheim"	Florist	148-61-0655	kabusjuliane		Dipl.-Ing. Trudel Hettner B.A.	(Decimal('-62.900759'), Decimal('144.003369'))	stefaniefischer@aol.de	502
A-	666	Baglioni SPA	03/15/2023, 00:00:00	"Contrada Lolita, 554
09014, Carloforte (SU)"	Designer, exhibition/display	TRNNTN10T10I359S	coluccio55		Sig.ra Evangelista Colletti	(Decimal('5.735606'), Decimal('-63.262535'))	donnaplatini@poste.it	314
O+	845	小林印刷有限会社	2020-01-13	愛媛県香取郡神崎町木立21丁目2番13号 シティ土呂部594		732-07-8380	maaya54		佐藤 翔太	(Decimal('-32.778819'), Decimal('20.299373'))	fsuzuki@yahoo.com	673
B-	151	Vargas	05/03/2023, 00:00:00	"Lago de Oliveira, 24
Mineirão
70961719 Fernandes / RO"		13792084597	eporto		Gael Henrique Fernandes		ferreiraguilherme@uol.com.br	486
B-	812	Mannoia-Ruggeri SPA	06/23/2022, 00:00:00	"Strada Vito, 6
80036, Vico (NA)"	Academic librarian	MNTGTN13M60L528V	federico93		Matilda Fagotto	(Decimal('-31.672140'), Decimal('-5.307649'))	gaetanochiaramonte@outlook.com	150
O-	1099	Souza S/A	02/19/2021, 00:00:00	"Trevo Luna da Rosa, 11
Conjunto Bonsucesso
93312444 Brito Paulista / SE"		97085621303	costelajoana		Isaque Gonçalves	(Decimal('34.5761885'), Decimal('64.690216'))	orodrigues@yahoo.com.br	71
AB+	2055	松本銀行株式会社	2019-02-21	北海道西多摩郡檜原村上広谷16丁目2番9号	気象予報士	203-48-7261	moririka		鈴木 舞	(Decimal('62.9959195'), Decimal('-173.348415'))	watanaberei@yahoo.com	660
AB+	1243	Arnold, Greer and Walker	11/28/2020, 00:00:00	"84957 Dyer Alley
West Donna, NH 33028"		874-22-5406	williamschristopher		Cynthia Oneill	(Decimal('62.206906'), Decimal('-113.187135'))	reneemacdonald@gmail.com	348
B-	1346	Parpinel, Montanariello e Carosone Group	2020-04-30	"Contrada Barsanti, 25
87027, Paola (CS)"	Dance movement psychotherapist	CMLMNC91B15C274K	tascaimelda		Napoleone Borsellino-Dibiasi	(Decimal('13.0258865'), Decimal('-36.693442'))	alphonsginese@gmail.com	583
A+	1031	Pergande	08 Oct 2021	"Wieslaw-Patberg-Gasse 1-6
62322 Torgau"		216-07-6851	else12		Sylvie Schuster B.Eng.	(Decimal('13.090286'), Decimal('81.737963'))	stiebitzlothar@hotmail.de	173
O+	1400	株式会社佐藤農林	01 Aug 2024	岩手県香取郡東庄町大中23丁目3番6号 シャルム蔵前609		243-78-9700	kanaikeda		加藤 稔	(Decimal('-5.890580'), Decimal('148.515543'))	qmaeda@gmail.com	396
B+	1567	Badoer e figli	29 Dec 2021	"Viale Silvio, 8
06121, Perugia (PG)"		GNSLNA84B19I782Y	adelmo17		Annunziata Garozzo-Stoppani	(Decimal('71.880075'), Decimal('-145.386347'))	guinizzellirosario@libero.it	660
O-	1384	Biagi e figli	07 Oct 2020	"Vicolo Lauretta, 8 Piano 1
08032, Desulo (NU)"	Lobbyist	DBSNNT78E13B715Q	gloriatrapanese		Gianluca Lombroso	(Decimal('-71.464853'), Decimal('36.473529'))	mauralancisi@outlook.com	644
B+	103	藤田情報合同会社	2022-11-04	大分県印旛郡印旛村蟇沼1丁目18番2号 クレスト西関宿043	行政書士	251-33-0216	ainoue		佐藤 健一	(Decimal('-19.3163355'), Decimal('-162.433193'))	yoshidaakira@yahoo.com	71
O-	1207	Noack Oderwald GbR	2025-01-12	"Hans Jörg-Lehmann-Platz 6548
06886 Gunzenhausen"		625-25-2075	walli18		Bozena Stiebitz	(Decimal('-64.4312445'), Decimal('135.000360'))	piotrdussen-van@aol.de	313
B+	1339	das Neves	03 Mar 2019	"Recanto Catarina Barbosa
Santa Lúcia
20174-056 Pastor dos Dourados / GO"		30294685774	alexandreda-conceicao		Luara Martins	(Decimal('-45.515043'), Decimal('143.734840'))	alvesagatha@uol.com.br	163
B-	1110	Fantini, Coardi e Cutuli s.r.l.	2025/01/31	"Borgo Crispi, 9
15026, Oviglio (AL)"		CTNMCL63S61G088M	zaira53		Sig.ra Loredana Saraceno	(Decimal('37.8244125'), Decimal('123.514374'))	bocellidaria@live.com	207
A+	1782	清水電気株式会社	01/06/2019, 00:00:00	埼玉県浦安市高輪36丁目16番17号 アーバン花川戸217		032-44-4207	ryamamoto		後藤 陽一	(Decimal('63.5221925'), Decimal('-6.585596'))	yamamotoyosuke@hotmail.com	67
A-	751	Bocelli SPA	01 Apr 2021			VNTVEA38A23D544R	stefania70		Raffaella Ungaretti		fortunata49@poste.it	515
A-	1999	Farias	04 Feb 2020	"Núcleo Antony da Luz, 39
Itaipu
49644933 Lima de Nogueira / CE"	Engenheiro de horticultura	39157806268	cvargas		Maria Laura Pimenta	(Decimal('-53.341390'), Decimal('-25.891248'))	joao-pedronovaes@gmail.com	390
AB-	104	Prodi-Dibiasi s.r.l.	2023-08-09	"Borgo Geronimo, 26 Piano 0
00024, Castel Madama (RM)"		PLCCHR17E19L544A	caffarellimaria		Raffaello Mazzocchi-Majorana	(Decimal('-35.7881415'), Decimal('117.076806'))	zmuti@virgilio.it	21
B-	1824	Jockel	24 Mar 2020	"Briemerweg 9/9
40203 Eisleben"	Techniker	119-88-2195	fhess		Heinz-Georg Grein Groth	(Decimal('22.038730'), Decimal('40.360594'))	krokersalvatore@aol.de	119
O+	929	Foa, Maderna e Camilleri e figli	13 Aug 2023	"Viale Totino, 339
10145, Torino (TO)"		MNZLRT12S11I179N	mocenigocipriano		Milena Pavone	(Decimal('-1.9960915'), Decimal('6.541145'))	ommadonatella@hotmail.com	518
A+	1178	三浦保険株式会社	03/08/2024, 00:00:00	静岡県香取郡東庄町九段南9丁目24番17号 日比谷公園パレス602	演歌歌手	085-06-8358	takahashinanami		小林 春香	(Decimal('-48.4021465'), Decimal('-151.000060'))	cmaeda@hotmail.com	314
AB+	1223	Costa Pastor - ME	2020-03-02		Parteira tradicional	87925431032	fmonteiro		Sra. Sophie Moraes	(Decimal('-23.3789875'), Decimal('152.110434'))	mouracecilia@ig.com.br	504
O-	832	Pires	2020-12-25	"Vila Juliana Costela, 527
Nova Granada
02418917 Ribeiro de Mendonça / MS"		42086197594	allanamacedo		Dom Duarte	(Decimal('22.4991725'), Decimal('-40.902191'))	alvesyasmin@yahoo.com.br	95
B-	1353	Cerutti, Germano e Broschi Group	01/25/2023, 00:00:00	"Canale Piergiuseppe, 811 Appartamento 3
59016, Poggio A Caiano (PO)"		RTLDNL81D24A894K	xbottaro		Sig. Claudio Mercalli	(Decimal('-88.529593'), Decimal('-84.708263'))	parinimarina@libero.it	500
B+	950	Cabrini Group	2024-10-22			NGNLRA52P01H633L	licia84		Nino Malpighi	(Decimal('-71.5011345'), Decimal('-172.379818'))	opavarotti@poste.it	51
B+	62	da Mota Ltda.	2024/12/05			19257430634	wcavalcante		João Gabriel Sampaio	(Decimal('-51.2008255'), Decimal('-85.668035'))	srodrigues@bol.com.br	382
AB-	2082	Seddio, Tasso e Agazzi SPA	2019/10/22	"Borgo Ioppi, 1 Piano 4
80128, Napoli (NA)"		PPENGC03P03H174Q	daria01		Melania Bonaventura	(Decimal('49.3526435'), Decimal('-61.126301'))	lucreziasorrentino@poste.it	470
A+	1246	Vargas Rodrigues Ltda.	2019-12-13	"Jardim Anthony da Rosa, 77
Camponesa 1ª Seção
03720512 Mendes das Flores / ES"		21453768017	jose-pedro77		Srta. Juliana Montenegro	(Decimal('59.4303585'), Decimal('-125.500737'))	eduardocasa-grande@yahoo.com.br	137
AB+	561	Adams, Barnett and Jensen	2025-06-26			458-63-5636	lowemark		Alexis Peters	(Decimal('14.248966'), Decimal('-156.087030'))	alec92@gmail.com	125
A-	2086	Anguillara SPA	09/21/2022, 00:00:00	"Strada Stucchi, 61
66019, Torricella Peligna (CH)"		FLLJCP08R65G765F	buscettaluisa		Natalia Bottigliero	(Decimal('-69.9791785'), Decimal('-68.934145'))	gioele02@yahoo.com	201
A+	1743	Santos S.A.	2020/02/10	"Estação da Conceição, 39
Vila Jardim Montanhes
41852401 Monteiro do Oeste / MA"		49302861740	samatteo		Thiago Ramos	(Decimal('5.638740'), Decimal('-16.341632'))	calebpimenta@hotmail.com	677
A+	1092	Pinto	25 Jun 2023	"Viaduto de Fernandes, 607
Minas Caixa
77849-782 da Mata / RS"		68721340544	maria-liz60		Allana Castro	(Decimal('-4.3944185'), Decimal('109.097958'))	salesvitor@bol.com.br	38
AB-	954	中村運輸有限会社	2023/11/27	鳥取県横浜市磯子区千束5丁目25番7号		444-59-4086	lwatanabe		前田 学	(Decimal('-51.4082355'), Decimal('-59.980747'))	ryoheiendo@yahoo.com	328
A+	1450	Pärtzelt AG	29 Oct 2020	"Wernerallee 6/7
60807 Hofgeismar"		970-41-6895	weissmargarethe		Prof. Hilda Fiebig	(Decimal('54.1860865'), Decimal('-159.283266'))	gundolf66@hotmail.de	540
AB+	1707	Câmara S.A.	2019/09/30		Meeiro	49875631264	ester77		Dr. Ian Porto	(Decimal('-88.331084'), Decimal('-77.315380'))	marquesanthony@ig.com.br	136
B+	2151	Nunes	09 Aug 2020			14620735817	bernardocunha		Ana Clara Abreu	(Decimal('89.870066'), Decimal('42.134192'))	da-costamariah@gmail.com	533
O-	333	Duffy Group	01 Mar 2022	"03558 Porter Turnpike
West Jeffrey, IL 09576"		710-71-5615	mikewilliams		Zachary Kelly	(Decimal('69.108553'), Decimal('92.482015'))	whitehector@gmail.com	740
O+	230	Langern KG	26 Mar 2024	"Anni-Trommler-Allee 7757
86039 Borken"	Krankenschwester	505-85-5793	liesel13		Ing. Ralf Knappe	(Decimal('-76.0967705'), Decimal('114.827377'))	niemeiertrude@hotmail.de	292
A-	269	Costa	2025/05/08			72185946030	nandrade		Srta. Beatriz Farias	(Decimal('40.7986045'), Decimal('133.024099'))	tmendonca@ig.com.br	670
A+	1610	後藤ガス株式会社	2020/09/18	福井県横浜市港南区台東17丁目17番17号 五味ヶ谷アーバン397	イラストレーター	228-93-0315	katoasuka		伊藤 くみ子	(Decimal('-66.841735'), Decimal('-66.677971'))	dsaito@yahoo.com	561
A+	907	Aparecida	2023/06/16	"Vereda Duarte, 560
Vila Pilar
72215793 da Conceição / AP"		90748215611	wbarbosa		Dom Gonçalves	(Decimal('38.3383525'), Decimal('-128.830783'))	diego56@bol.com.br	340
B-	211	Barth Juncken GmbH	03/01/2022, 00:00:00	"Benthinstraße 5/1
97564 Vechta"		674-66-7292	eigenwilligsimone		Gert Rädel	(Decimal('68.1710415'), Decimal('38.421125'))	xmude@gmail.com	306
O-	621	Davenport, Bates and Shepard	2023-09-06	"28849 Crystal Land Suite 978
Wallerland, OR 71838"	Nutritional therapist	329-56-3624	mary37		Donna Richard	(Decimal('24.4294495'), Decimal('160.850716'))	david20@hotmail.com	547
B-	656	Ullmann KG	08/27/2024, 00:00:00	"Heydrichplatz 562
91846 Sankt Goar"		426-67-4874	hweiss		Ehrhard Kroker B.Eng.		detlefkruschwitz@aol.de	178
AB-	69	Freeman-Larsen	20 May 2024	"027 Alicia Trail
Morrisfurt, GA 23912"	Early years teacher	724-28-2011	jeffreygriffin		Bryan Fuentes	(Decimal('-59.6399685'), Decimal('141.987350'))	dana19@hotmail.com	609
O-	862	da Rocha	10/27/2024, 00:00:00			35871204988	knunes		Dra. Nina Mendonça	(Decimal('-39.070526'), Decimal('-139.065001'))	rda-rocha@gmail.com	266
A+	2067	Nichols, Day and Riley	05/24/2025, 00:00:00	"8301 Charlotte Forest
East Christopher, GU 67740"		364-48-3692	emilymaxwell		Kenneth Hendricks	(Decimal('-23.194124'), Decimal('-22.099895'))	elizabeth40@hotmail.com	622
AB-	209	das Neves Souza S/A	2024/08/13	"Feira de Machado, 735
Conjunto Serra Verde
68234218 Mendonça / PA"		76890312503	flopes		Lucca Farias	(Decimal('-31.698364'), Decimal('168.941505'))	nascimentoluisa@bol.com.br	265
A-	178	Baglioni-Farina e figli	2022-07-18	"Incrocio Galasso, 334 Piano 0
85010, Cancellara (PZ)"		SGLNDD33M12A077A	fabrizia56		Antonina Sforza	(Decimal('-7.249692'), Decimal('142.582180'))	danilobombieri@hotmail.com	81
AB-	1369	有限会社加藤ガス	2020/07/10		検察官	385-18-9850	ngoto		小林 幹	(Decimal('-9.0339665'), Decimal('-90.317246'))	kondoshohei@hotmail.com	563
O-	2050	中村運輸株式会社	06 Aug 2025			791-37-9434	kumikookamoto		高橋 智也	(Decimal('-53.5899895'), Decimal('-99.180982'))	kumikosuzuki@hotmail.com	653
B-	827	Sordi-Viola Group	23 Jan 2022	"Incrocio Victoria, 6 Piano 6
05012, Attigliano (TR)"		PRSGCN53B65M364V	vcelentano		Ranieri Saragat	(Decimal('12.242857'), Decimal('-87.605699'))	arnaldopalombi@gmail.com	23
A-	347	Huhn	27 Jan 2022		Arzt	643-52-3081	zirmewolfgang		Roswita Niemeier-Hofmann	(Decimal('-30.373026'), Decimal('-126.015488'))	kwagner@gmail.com	543
O-	668	Fritsch	2024/12/19	"Hethurstr. 878
01292 Hohenstein-Ernstthal"		809-99-3994	gisela07		Manuela Rogner	(Decimal('-7.946693'), Decimal('62.873274'))	lorenzo32@web.de	719
AB-	1130	Stokes-Price	11 Jun 2024	"119 Berg Hills
Rosston, NM 48987"		254-97-7950	castanedabailey		Brian George	(Decimal('43.364706'), Decimal('-139.982073'))	mooregeorge@gmail.com	182
